"req_id","customerid","businessid"
"12021060716100964087","4500357078",TCL20210600000575
"12021060714440964065","3000427812",TCL20210600000555
"12021060715370964060","4500356975",TCL20210600000563
"12021060712250964032","4500356059",TCL20210600000532
"12021060716160964090","4500357134",TCL20210600000578
"12021060717190964107","4500357452",TCL20210600000596
"12021060715120964071","4500351694",TCL20210600000560
"12021060716280964095","3001340066",TCL20210600000586
"12021060717280964122","4500295898",TCL20210600000605
"12021060717200964108","4500357463",TCL20210600000599
"12021060714420964054","4500356767",TCL20210600000553
"12021060711260964000","4500350756",TCL20210600000520
"12021060718300964129","4500357664",TCL20210600000612
"12021060718000964126","3000873318",TCL20210600000541
"12021060716070964077","3000645786",TCL20210600000573
"12019081416360059494","3000431835",TCL20190800000539
"12019081516560059570","3000543160",TCL20190800000449
"12019090312270069032","3000580146",TCL20190800000983
"12019123111240160175","3000657890",TCL20191200002028
"12019120913050136744","3000632871",TCL20191100001958
"12020040714540295482","3000786261",TCL20200400000199
"12020050715340339694","3000849022",TCL20200500000257
"12020051510060349746","3000464818",_作废TCL20200500001005
"12020050710430339322","3000847388",TCL20200500000192
"12020050611480328377","3000845440",TCL20200500000075
"12020052517060366371","3000891454",TCL20200500001709
"12020052615280366565","3000894144",TCL20200500001780
"12020051311480349388","3000106032",TCL20200500000814
"12020050518000328332","3000844850",TCL20200500000045
"12020042812450327889","3000823008",TCL20200400001160
"12020050615300328428","3000846374",_作废TCL20200500000121
"12020050614390328422","3000412019",TCL20200500000106
"12020050712010339417","3000847416",TCL20200500000193
"12020060816490395109","3000920711",TCL20200600000441
"12020061511540396455","3000937555",TCL20200600000941
"12020061117390395912","3000746249",_作废TCL20200600000764
"12020061111320395761","3000930213",TCL20200600000684
"12020060311230381740","3000423670",TCL20200600000150
"12020060811530394932","3000920225",TCL20200600000375
"12020060815200395031","3000921197",TCL20200600000413
"12020060817420395124","3000921790",_作废TCL20200600000451
"12020061710090410404","3000456680",_作废TCL20200600001138
"12020060914210395276","4002932535",_作废TCL20200600000525
"12020062412530412396","3000960794",_作废TCL20200600001765
"12020070715570446763","3000973929",TCL20200700000470
"12020070209540430346","3000981696",TCL20200700000082
"12020070311480430671","3000751946",_作废TCL20200700000197
"12020070219000430576","3000629230",TCL20200700000185
"12020070310250430610","3000958906",TCL20200600001674
"12020070919200447429","3000988387",TCL20200700000731
"12020071014300447569","3000553666",_作废TCL20200700000781
"12020070211120430409","3000613685",TCL20200700000103
"12020070814590446973","3000988923",TCL20200700000562
"12020070914130447299","3000990662",TCL20200700000674
"12020071711470462686","3001005819",TCL20200700001350
"12020072415380464169","3001018891",TCL20200700001864
"12020071519360448665","3000632578",TCL20200700001214
"12020072115270463410","3001012776",_作废TCL20200700001591
"12020072112000463366","3001011924",_作废TCL20200700001560
"12020072115320463433","3001012872",TCL20200700001595
"12020072511390464263","3000351184",_作废TCL20200700001892
"12020072815240478428","3001024538",_作废TCL20200700002033
"12020072318100464004","3001013358",TCL20200700001793
"12020080118090479321","3000728530",TCL20200700002313
"12020080316050479486","3000884426",TCL20200800000077
"12020072819120478517","3001025127",TCL20200700002060
"12020081313320481261","3001046190",TCL20200800000690
"12020081117180480968","3000096536",TCL20200800000587
"12020080811560480514","3001042997",TCL20200800000428
"12020081010120480634","3000353603",_作废TCL20200800000453
"12020073018280479024","3001029803",TCL20200700002241
"12020080312130479473","3001033701",TCL20200800000055
"12020082518060533305","3001078758",TCL20200800001557
"12020082714450533643","3001084912",_作废TCL20200800001673
"12020082415140510861","3000219907",TCL20200800001438
"12020083115480534275","3001076494",TCL20200800001866
"12020082714370533639","4001494479",TCL20200800001674
"12020081811180509613","3001061640",TCL20200800000945
"12020081718540509570","3001053551",TCL20200800000928
"12020081414370481482","3000706159",TCL20200800000785
"12020081415150481489","3000295081",TCL20200800000791
"12020082617390533501","3000106824",_作废TCL20200800001622
"12020081911000509882","3000628238",TCL20200800001043
"12020081813030509635","3001061959",TCL20200800000960
"12020090809520556763","3000849022",TCL20200900000442
"12020090112370534493","3001098452",TCL20200900000029
"12020082814450533899","3001083133",_作废TCL20200800001766
"12020083015350534105","3001094932",TCL20200800001829
"12020082815570533938","3000304626",TCL20200800001776
"12020090311280534923","3001106671",TCL20200900000191
"12020091418020557798","3001150199",TCL20200900000871
"12020092212210559100","3001168171",TCL20200900001398
"12020091018100557366","3001132961",TCL20200900000638
"12020092615420560043","3001177019",TCL20200900001790
"12020091611580558110","3000382624",TCL20200900000994
"12020092114160558891","3001156615",TCL20200900001319
"12020092916150560776","3001183502",TCL20200900002066
"12020091512140557925","3000643389",TCL20200900000880
"12020092216410559217","3001169123",TCL20200900001448
"12020091811450558540","3001161536",TCL20200900001196
"12020091814300558610","4001909170",TCL20200900001217
"12020101215180561740","3001193073",_作废TCL20201000000301
"12020102015490563790","3001200303",TCL20201000001278
"12020101315550562038","3001195448",TCL20201000000442
"12020102017550563879","3001210395",TCL20201000001342
"12020101615390562887","3001203225",TCL20201000000830
"12020101212000561672","3001192247",TCL20201000000254
"12020101311550561951","3001194631",TCL20201000000401
"12020100816300561058","3001188137",TCL20201000000016
"12020101515450562591","3001200689",_作废TCL20201000000687
"12020101216310561792","3001193481",TCL20201000000331
"12020102219210565024","3001219089",TCL20201000001846
"12020102314370565387","3001010860",_作废TCL20201000002047
"12020102315420565442","3001223595",TCL20201000002080
"12020102218490565013","3001214716",TCL20201000001709
"12020102514500566031","3000624819",TCL20201000002332
"12020102019010563969","3001207639",TCL20201000001041
"12020103015310568628","3001241388",TCL20201000003491
"12020110315200603846","3001250525",TCL20201100000323
"12020103112590568861","3000851323",TCL20201000003596
"12020110320110609949","3001197804",TCL20201100000429
"12020102917420568250","3001238943",TCL20201000003333
"12020110517030610854","3001256716",TCL20201100000841
"12020110410400609991","3001252147",TCL20201100000457
"12020110316100607393","3001250872",TCL20201100000350
"12020110512270610645","3001255251",TCL20201100000726
"12020102614180566330","3001230202",TCL20201000002477
"12020103015400568648","3001241497",TCL20201000003500
"12020103118000568944","3001243236",TCL20201000003577
"12020110418000610404","3001253346",TCL20201100000541
"12020103010360568389","3001240013",TCL20201000003392
"12020103015410568636","3001241522",TCL20201000003501
"12020103111580568853","4004462189",TCL20201000003591
"12020102917230568236","3001238609",TCL20201000003322
"12020110415320610246","3001253434",TCL20201100000552
"12020102819060567833","3001236332",TCL20201000003145
"12020103017040568718","3001241760",TCL20201000003537
"12020110516500610795","3001256663",TCL20201100000832
"12020111116500612809","3001286404",TCL20201100001780
"12020111112110612601","3001283734",TCL20201100001667
"12020111215580613325","3001289445",TCL20201100002020
"12020111216490613297","3001289834",TCL20201100002046
"12020111310370613533","4003296735",TCL20201100002125
"12020110916230611876","3001243642",TCL20201100001316
"12020111314190640024","3000655354",TCL20201100002228
"12020111111380612581","3001283412",TCL20201100001650
"12020111017450612384","3001282426",TCL20201100001560
"12020112310480654320","3000626331",TCL20201100003734
"12020111311490632003","3001293900",TCL20201100002166
"12020111713170653010","3001257828",TCL20201100002746
"12020111311560632483","3001293893",TCL20201100002174
"12020113017430680732","3001333254",TCL20201100004173
"12020113016180680696","3001346414",TCL20201100004760
"12020120220520681230","3001355286",TCL20201200000322
"12020112314220674737","3001064149",TCL20201100003811
"12020113017180680709","3001346745",TCL20201100004780
"12020113017040680707","3001346671",TCL20201100004775
"12020120412000707309","3001358943",TCL20201200000512
"12020122812260710764","4005375448",TCL20201200002421
"12020122318010710145","3001127585",TCL20201200002173
"12020121917010709785","3001398565",TCL20201200001880
"12020121117110708898","3001379642",TCL20201200001253
"12020121119470708930","3000631242",TCL20201200001283
"12020120818000708131","3001370009",TCL20201200000900
"12020122310370710063","3001401346",TCL20201200001934
"12020123108230711225","3001421393",TCL20201200002694
"12021010713590712614","3001377395",TCL20210100000492
"12021010514330712087","3001430185",TCL20210100000206
"12021010616120712407","3001356838",TCL20210100000375
"12020123018000711183","3001422532",TCL20201200002677
"12021010510440711970","3001429538",TCL20210100000152
"12021011812000714684","3001458629",TCL20210100001714
"12021012212000715628","3000577735",TCL20210100002172
"12021020117220770252","4010849376",TCL20210200000074
"12021030409350802889","3000722514",TCL20210300000330
"12021011912000714921","4008592603",TCL20210100001871
"12021030418240803053","3001195954",TCL20210300000434
"12021012618000716296","3001476962",TCL20210100002662
"12021012812050716612","3001369293",TCL20210100002911
"12021012411180715806","3001249607",TCL20210100002463
"12021011811510714673","3001458844",TCL20210100001723
"12021021817480771983","3001507762",TCL20210200000640
"12021020318430770839","3001501579",TCL20210200000291
"12021012121140715499","3001231680",TCL20210100002273
"12021011915250714977","3001461758",TCL20210100001930
"12021030411210802916","3001521195",TCL20210300000351
"12021030814380803369","3001522828",TCL20210300000633
"12021040211290863412","4500138791",TCL20210400000113
"12021042317190865854","3000661477",TCL20210400001460
"12021031012130803672","3001556696",TCL20210300000869
"12021032415120805806","4500109619",TCL20210300002208
"12021042810360866812","3001247779",TCL20210400002118
"12021042317370865840","4500256112",TCL20210400001467
"12021042616070866305","4500264727",TCL20210400001694
"12021042710150866377","4500265734",TCL20210400001773
"12021042311450865761","4500253982",TCL20210400001405
"12021030814150803319","3001524799",TCL20210300000620
"12021033014430862897","4500132270",TCL20210300002696
"12021031210360804068","4500020941",TCL20210300001067
"12021041515150864801","3001503806",TCL20210400000891
"12021031313340804226","3001233928",TCL20210300001169
"12021031814570804953","4500078254",TCL20210300001636
"12021032416120805791","3000728047",TCL20210300002221
"12021040416340863583","4500154840",TCL20210400000201
"12021040715270863853","4500163469",TCL20210400000346
"12021042916260867432","4500271844",TCL20210400002540
"12021050711530899916","3000736774",TCL20210500000182
"12021052220300902677","4500331395",TCL20210500001887
"12021051714020901677","4500317231",TCL20210500001244
"12021052811120904354","4500337999",TCL20210500002389
