"yd_var","yd_var_name","var"
yd_zxdtiminst1mlqccpr,准贷记卡产品下最近1个月最小逾期次数,zxdtiminst1mlqccpr
yd_zxdtiminst3mlqccpr,准贷记卡产品下最近3个月最小逾期次数,zxdtiminst3mlqccpr
yd_zxdtiminst6mlqccpr,准贷记卡产品下最近6个月最小逾期次数,zxdtiminst6mlqccpr
yd_zxdtiminst9mlqccpr,准贷记卡产品下最近9个月最小逾期次数,zxdtiminst9mlqccpr
yd_zxdtiminst12mlqccpr,准贷记卡产品下最近12个月最小逾期次数,zxdtiminst12mlqccpr
yd_zxdtiminst24mlqccpr,准贷记卡产品下最近24个月最小逾期次数,zxdtiminst24mlqccpr
yd_zxdtiminst36mlqccpr,准贷记卡产品下最近36个月最小逾期次数,zxdtiminst36mlqccpr
yd_zxdtiminst48mlqccpr,准贷记卡产品下最近48个月最小逾期次数,zxdtiminst48mlqccpr
yd_zxdtiminst60mlqccpr,准贷记卡产品下最近60个月最小逾期次数,zxdtiminst60mlqccpr
yd_zxdtisumst1mlqccpr,准贷记卡产品下最近1个月总和逾期次数,zxdtisumst1mlqccpr
yd_zxdtisumst3mlqccpr,准贷记卡产品下最近3个月总和逾期次数,zxdtisumst3mlqccpr
yd_zxdtisumst6mlqccpr,准贷记卡产品下最近6个月总和逾期次数,zxdtisumst6mlqccpr
yd_zxdtisumst9mlqccpr,准贷记卡产品下最近9个月总和逾期次数,zxdtisumst9mlqccpr
yd_zxdtisumst12mlqccpr,准贷记卡产品下最近12个月总和逾期次数,zxdtisumst12mlqccpr
yd_zxdtisumst24mlqccpr,准贷记卡产品下最近24个月总和逾期次数,zxdtisumst24mlqccpr
yd_zxdtisumst36mlqccpr,准贷记卡产品下最近36个月总和逾期次数,zxdtisumst36mlqccpr
yd_zxdtisumst48mlqccpr,准贷记卡产品下最近48个月总和逾期次数,zxdtisumst48mlqccpr
yd_zxdtisumst60mlqccpr,准贷记卡产品下最近60个月总和逾期次数,zxdtisumst60mlqccpr
yd_zxallaccu12mldelqcnt,所有产品下最近12个月连续逾期次数总和,zxysall12mmaxdelq1cnt
yd_zxplaccu3mldelqcnt,贷款产品下最近3个月连续逾期次数总和,zxrcy3maccounttotaldelq1cnt
yd_zxplaccu6mldelqcnt,贷款产品下最近6个月连续逾期次数总和,zxrcy6maccounttotaldelq1cnt
yd_zxplaccu12mldelqcnt,贷款产品下最近12个月连续逾期次数总和,zxloanrcy12m1cnt
yd_zxplaccu24mldelqcnt,贷款产品下最近24个月连续逾期次数总和,zxrcy24maccounttotaldelq1cnt
yd_zxccaccu3mldelqcnt,贷记卡产品下最近3个月连续逾期次数总和,zxrcy3mccaccttotaldelq1cnt
yd_zxccaccu6mldelqcnt,贷记卡产品下最近6个月连续逾期次数总和,zxrcy6mccaccttotaldelq1cnt
yd_zxccaccu12mldelqcnt,贷记卡产品下最近12个月连续逾期次数总和,zxccrcy12m1cnt
yd_zxccaccu24mldelqcnt,贷记卡产品下最近24个月连续逾期次数总和,zxrcy24mccaccttotaldelq1cnt
yd_zxqccaccu12mldelqcnt,准贷记卡产品下最近12个月连续逾期次数总和,zxsccrcy12m1cnt
yd_zxdac1gti3mlallpr,所有产品下最近3个月逾期次数大于等于1的账户数,zxdac1gti3mlallpr
yd_zxdac2gti3mlallpr,所有产品下最近3个月逾期次数大于等于2的账户数,zxdac2gti3mlallpr
yd_zxdac3gti3mlallpr,所有产品下最近3个月逾期次数大于等于3的账户数,zxdac3gti3mlallpr
yd_zxdac1gti6mlallpr,所有产品下最近6个月逾期次数大于等于1的账户数,zxdac1gti6mlallpr
yd_zxdac2gti6mlallpr,所有产品下最近6个月逾期次数大于等于2的账户数,zxdac2gti6mlallpr
